address,script_type,current_balance_btc,total_received_btc,n_unspent_utxos,n_received_outputs,oldest_unspent_height,last_seen_height
34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBP,p2sh,16306.62957123,16306.62957123,63,63,706210,946601
38rFtDdFpXc4y6XPbSnNd2UvveEt5Xms2E,p2sh,16116.31675157,16116.31675157,4,4,927001,935752
3GPAWK5aUB5Ve9akvTzZgp69USjgbhFbay,p2sh,15996.74843479,41002.19878846,239,1210,685339,950492
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,p2pkh,15745.55997890,0.00408028,119,64,523134,950595
3FM9vDYsN2iuMPKWjAcqgyahdwdrUxhbJ3,p2sh,15308.09936858,30160.29514396,123,418,824512,950592
1BAuq7Vho2CEkVkUxbfU26LhwQjbCmWQkD,p2pkh,15000.00146545,31277.99616035,22,27,741121,945356
1CNtkWbb4grh8xtb8mhoZ6armNE9PHgzA8,p2pkh,14232.07683512,80428.07141177,186,200,771699,949387
1PJiGp2yDLvUgqeBsuZVCBADArNsk6XEiw,p2pkh,14006.58330447,179069.71662729,125,193,822991,950596
3KZbyboy2MKfQjDKKf2R4UdVbUKgYvso22,p2sh,13588.90241100,51766.70725446,1,4,945506,945506
bc1qsg6x2cvm75xuddn5g0ss9zglaamgz90q8vcp8w,p2wpkh,13514.27986789,13514.28384789,6,7,914992,946379
36X44rmLtk218sXACZ3gFpNMFENi6dQ2n3,p2sh,13168.56169556,20581.11812917,49,58,943076,950221
bc1qvrwzs8unvu35kcred2z5ujjef36s5jgf3y6tp8,p2wpkh,13107.90656612,13107.90656612,30,30,919151,946232
bc1q4vxn43l44h30nkluqfxd9eckf45vr2awz38lwa,p2wpkh,13003.02299176,13003.02299176,61,61,692909,950673
bc1p4zxtwg3rhr5jqkzuvf0q03m2a69clydghqqz6arhldxln7ew0guq840aqm,p2tr,12500.00500330,12500.00500330,27,27,940783,945206
39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN,p2sh,12477.28069358,1938592.25544278,122,445,763153,950595
bc1qkmk4v2xn29yge68fq6zh7gvfdqrvpq3v3p3y0s,p2wpkh,12267.02348812,12267.02348812,42,42,832439,950596
bc1qchctnvmdva5z9vrpxkkxck64v7nmzdtyxsrq64,p2wpkh,11989.50579598,3307914.31854808,5,931,949514,950661
bc1qcpflj68s3ahy4xajez4d8v3vk28pvf7qte2jmlftvxzfke2u6mqsge3gvh,p2wsh,11479.24627999,1694695.71884586,9,385,948236,950595
bc1qatjx2qc8vxz39m0qdz303z8et2pgmc74xz8km3,p2wpkh,10938.05368104,577701.51429298,1,145,950393,950393
1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC,p2pkh,10770.53633708,0.00166873,140,51,140157,950597
bc1qxlth5har0qasqvattsjvgp80st2x402u5shuud,p2wpkh,10500.00588575,10500.00588575,15,15,848979,943769
