address,script_type,current_balance_btc,total_received_btc,n_unspent_utxos,n_received_outputs,oldest_unspent_height,last_seen_height
bc1q42kvqt0e3f27qhd2ucnprarl5ywpuj7tu0h9v2,witness_v0_keyhash,0.00000000,2717531.96732590,0,49092,,950695
bc1qr35hws365juz5rtlsjtvmulu97957kqvr3zpw3,p2wpkh,0.00011271,2666904.17527308,17,908140,829915,950696
bc1quq29mutxkgxmjfdr7ayj3zd9ad0ld5mrhh89l2,p2wpkh,596.95081572,2523578.67860524,206,593936,938445,950696
bc1qx76pl3zzunj045tl0dhx36j2gpmw3mxt57l5un,witness_v0_keyhash,0.00000000,2520793.92163686,0,1025,,950674
bc1qaw7e304esayf9ph9j5hn8uz6nwecudy6kvp2wu,p2wpkh,0.00156299,2482850.62352838,1,101796,863504,863504
bc1qsatlphjcgvzlt9xhsgn0dnjus5jgwg83dr05c6,witness_v0_keyhash,0.00000000,2344231.93112707,0,638354,,950696
bc1qy84w3ph80m0wzjpec9zd0689vdc3m8tcc573ck,witness_v0_keyhash,0.00000000,2326295.77058314,0,26748,,913207
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,p2wsh,130010.07900252,2310131.84545161,45,276,899592,949548
bc1q7uzjlx7z0ytwcf29rz4rr7cgpley3zp62mpry9,witness_v0_keyhash,0.00000000,2260452.60195416,0,34280,,950651
bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9,p2wpkh,19907.79512145,2168635.87855874,1958,91965,932378,950694
1HckjUpRGcrrRAtFaaCAUaGjsPx9oYmLaZ,p2pkh,8.38426820,2112194.12505646,1533181,67391,502326,919447
bc1qwfgdjyy95aay2686fn74h6a4nu9eev6np7q4fn204dkj3274frlqrskvx0,p2wsh,458.32597796,1999007.31559050,478,1629890,686281,950696
39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN,p2sh,12477.28069358,1938592.25544278,122,445,763153,950595
bc1qxv9vek0xts9ktv0l06a6stsx404cps9n4dsew8,witness_v0_keyhash,0.00000000,1908714.14618961,0,17463,,950673
bc1qx56mw6nez7v7qf9cvwem6qqhe4rde44utcx8qr,witness_v0_keyhash,0.00000000,1907471.37919185,0,17426,,950687
bc1qgnerwnztlz7ne4seq0rdencmavl8xnm9ruuacf,witness_v0_keyhash,0.00000000,1904544.96099134,0,17255,,950668
bc1qstpzhd7ydxd8qx007yyazgahww3zju6s7y4ere,witness_v0_keyhash,0.00000000,1896579.05528988,0,17386,,950649
bc1qpnk0shp4jetalmamxcy6vvmrvhhamswmhprlcx,witness_v0_keyhash,0.00000000,1893998.82249133,0,17459,,950592
bc1qngh6x2r72mp4nh88l083au728z7me0plytwfj7,witness_v0_keyhash,0.00000000,1892522.97147930,0,17382,,950641
bc1qm9dpm35mmfy2gnuvlx3zaew8psc9frr8vu7eyl,witness_v0_keyhash,0.00000000,1889913.19369302,0,17377,,950672
bc1qm9vv9nuwfevdyrdqve7kd3nlkfrxp9zpvr4r2u,p2wpkh,582.74323156,1879015.91347052,28,35481,950376,950684
bc1qts0fcvm5wpcxp8kjvy9rwnh2s4lyylngnnn3sj,witness_v0_keyhash,0.00000000,1877715.02805301,0,17133,,950681
bc1qrt4lhky8y4vc3a8qh9tkml8dhlr66unscslpjf,witness_v0_keyhash,0.00000000,1872949.13956430,0,17354,,950675
129FtWsHvbU7G28St8CCoXnjKyfEZbL5sd,p2pkh,0.00186576,1865345.92485371,5,14557,751751,801574
bc1qhs3gptkxem5y7yaq2yg0un2m8hae6wt87gkx4n,p2wpkh,0.00139711,1864983.70740807,18,165918,748732,896450
bc1q8h67dytup75uurg9jpj32mtudrauraf2fd7lnp,witness_v0_keyhash,0.00000000,1854495.88222570,0,17272,,950695
1NDyJtNTjmwk5xPNhjgAMu4HDHigtobu1s,p2pkh,0.09133811,1820441.74787508,19,175619,720851,941943
bc1qcpflj68s3ahy4xajez4d8v3vk28pvf7qte2jmlftvxzfke2u6mqsge3gvh,p2wsh,11479.24627999,1694695.71884586,9,385,948236,950595
bc1q32sxnq5hecdurfzgzp5x0zh8du86v9x84wdqdx,p2wpkh,0.00187254,1688929.54884903,1,75301,885628,885628
bc1qddvmdc9t8tad2eqd7vfwv2mexjzs49f42wvg27,p2wpkh,0.00006586,1618065.40872930,1,34669,943205,943205
bc1qwr8p08cexj2k2ylh0gga6v4jjqx66s3rpkvwfx,p2wpkh,72.01922017,1585424.41831580,2,23849,855309,950696
bc1qeskrez68qp79kjvmx5zlw32s3y9l4dscsnevsf,p2wpkh,4.60418430,1547056.08545423,3,3583,688142,943936
17XiDqzEtwENxFxVFGhTioCHAXsARjqzB3,pubkeyhash,0.00000000,1514969.48095717,0,20765,,787623
35iMHbUZeTssxBodiHwEEkb32jpBfVueEL,p2sh,0.00044463,1513712.93285300,1,227071,911590,911590
bc1qwfkngwsl3n2yrnttsmv3q849arwjlxzay34v7e,witness_v0_keyhash,0.00000000,1497602.95795281,0,1756,,950676
bc1p2ws3jd3krrplhs2r8z7pfv8dyydy2mh0y0ejqj4eesqv4cx4c6xq6x5yjg,p2tr,0.00000000,1413944.64986835,0,90934,,950664
bc1qqxf98drymkq5awwtt685l6463tmtumlrvqfxv2,witness_v0_keyhash,0.00000000,1402226.23043717,0,9960,,892591
bc1q35g04slz3d6ute64wggduef0f7gtdqqpaeledu,witness_v0_keyhash,0.00000000,1381579.41372602,0,27267,,741003
1KbDEg1tDz2ErYgaDbaDhhawnLrSQFaFx5,pubkeyhash,0.00000000,1364640.33679274,0,38811,,950688
1KHwtS5mn7NMUm7Ls7Y1XwxLqMriLdaGbX,pubkeyhash,0.00000000,1326533.05017400,0,316821,,803320
bc1qwj4fajtya5dhtm8te2c2kdyd9cwq0gt8645zde,witness_v0_keyhash,0.00000000,1309724.72578150,0,17195,,950695
bc1q0phej5lfqc8ed69f53l5mxw78svx878lgpqesl,witness_v0_keyhash,0.00000000,1289700.02670420,0,6830,,950597
3QiETomgUhPu573ZvhXbdofq7y5ocNS1ie,p2sh,1.80850081,1280389.41037600,13,130080,924978,950689
bc1qv4r4zwvf5ckdx3llaykl0vez4fdaj4jh5yfjsw,p2wpkh,0.00014996,1279461.68132032,22,14677,842572,946606
bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc27a4,p2wsh,97140.70687949,1266141.90983989,13,188,946442,950592
bc1qyk9q0jll6xp5a36ke72w8q2ka2hslz6cnzmqqt,witness_v0_keyhash,0.00000000,1246080.65784811,0,19419,,950645
bc1qhglyp4zp3rka28cds66jajku9znayfk36nxy88,witness_v0_keyhash,0.00000000,1229841.29633066,0,230,,895920
329koRvovTyNnd4ADrpR2uJHzXxfvKxta5,scripthash,0.00000000,1187078.14516933,0,46411,,878859
bc1q8pmuc2v0cku2ty0rfxp2jyvrhv6lpsjzq9y6s8,p2wpkh,0.06716469,1174599.13139929,1970,175008,853010,950695
12XZMdaAGmcHf4ocFSqpd8jFd1WH7RHUPs,p2pkh,229.46651964,1162316.34410730,955,28144,921174,950695
335umQ4egqMjDo6wSXYwQZYPntZzMveNTJ,scripthash,0.00000000,1149781.96518692,0,17562,,950397
3CRKfdBV78DD2R44SrbySmWvC9VdRRdHxQ,p2sh,0.00138781,1145738.33497342,1,4947,944201,944201
bc1qmak6ejwefzj28jwej7kru88nzw6czk9geyalwy,witness_v0_keyhash,0.00000000,1125873.03667119,0,177781,,950696
bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr,p2wsh,91850.11550812,1121451.20612917,26,224,946451,950643
1DLeNApsHNNzUMNZJVoXeyEY5sdp8vzx3w,p2pkh,252.27504930,1100515.51039935,1009,28028,920502,950695
