script_type,address_count,utxo_count,balance_btc,received_btc
p2wpkh,22449540,48481969,8107517.22833497,350883245.36008829
p2pkh,21299657,44501981,5931513.38405147,1143076214.74114609
p2sh,6258246,12184931,3941959.77925719,78214577.69636126
p2wsh,1164694,2816200,1329800.31631143,98121779.68076783
p2pk,11571,46340,412333.77913174,1.15331788
p2tr,4865218,54354221,197375.98797538,23796267.42707691
