dormancy_class,address_count,balance_btc,received_btc
recent,9675514,8570056.88467616,126191521.65953147
active,1810096,8085916.63933574,466839338.47523898
ancient_5y,21764579,1653870.67231796,419940.63364295
dormant_1y,13870697,970716.99873487,1057837667.40971947
dormant_3y,8928040,639939.27999745,42803617.88062543
