address,script_type,current_balance_btc,total_received_btc,n_unspent_utxos,n_received_outputs,oldest_unspent_height,last_seen_height
bc1pga29q827h09pd36u6yl0r6v6l2s759z8wd9yd4jakxhexrvmu9pq8rmxpd,p2tr,0.33518638,11.62806149,51266,51621,787729,876392
12f8twoiaNQWiMBpQCqCz11PgnBV1pzS8g,p2pkh,0.70794790,0.00000000,51080,0,573921,
bc1qxxew9jta6pgh7y9p7pwy6kwpv5v7wl6d4c9cns,p2wpkh,0.30357056,11.46232965,50201,941343,888158,946049
bc1qj4eektr2egfuf5wwh30q86te88acwsfxpvfqz0,p2wpkh,0.23047730,32.85841742,50025,52522,814322,946194
1EXoDusjGwvnjZUyKkxZ4UHEf77z6A5S4P,p2pkh,2.16465728,0.51396167,49932,111,253058,950037
1LPfGH6HZD4koJDMHPD6m8WL7TCiKgHkjD,p2pkh,0.26748698,7541.87534610,48990,705,552765,789524
bc1pkhyvky7ygtvey20tejulr9extvpmlthvf7nk86etl822qp469sxqs4vcms,p2tr,0.20052656,1.16004096,47542,47806,790453,857428
bc1qyh6zed46sn2e0yh8v9dc0anheu8kmndza7fst7,p2wpkh,0.23015593,8.13132042,46613,50146,835307,948587
bc1quh7m207zkm5k8a3x38zf2q6u65yupw5f0h98tu,p2wpkh,0.25472171,232.94861697,46308,51537,814239,946194
39ZEaLMDxWi5EWx9cQ2W3ixDP8rWHhz8GY,p2sh,46.12207433,2.38572172,45353,2807,599044,912208
bc1q7q8r2gcz3e4v7jmnkvmmnf95hkxdd6jaysxxg0,p2wpkh,0.23610940,2.15866268,44083,44414,818307,851325
bc1pvl80v0pu2qmgqsq248ej7fvrj4zgza2w80el0305mj83lcl3d0wqfg3jrh,p2tr,0.16711999,15.83388464,44041,54009,782663,950488
bc1pk8g4rztfkxs2q9c40g6keeknjw6aadx3kzu4suzlll0remfw7xxs5x9ctv,p2tr,0.23699959,0.35011538,43441,64068,840294,950695
bc1pt6xyl2kmkf9a9sk80890w4nvjhvhcjcl7a545tclwclnc8kdfycs3c0gfp,p2tr,0.19412290,206.99923878,43099,48227,790700,950309
bc1pw7alq7jywp3c3p2uqfgrj0djscvwvemh659m68jre4dxzfp9mgdqmed0ju,p2tr,0.23303521,30.00237308,42608,46483,779863,950495
bc1p5e5j2zkhzdac3mz4p4zxmrf5ujcl5ycxwf6vxcn5d85gt6g8g0jq86x3fp,p2tr,1.50325084,1.96503218,41831,52338,785455,931757
bc1p04vlz2kj3y2tecma3z5e0cx0557j50fnqyksys0g0u38ftgf522qet9j97,p2tr,0.13473700,12.85905591,40103,44712,840036,938707
bc1qfq2ntxjj8v99xdre6kswcyphgnfwk64y8smcux,p2wpkh,0.12772483,2.36644423,38600,60647,859517,933655
bc1pgxr6z9henwle9v7z5pcmvz77fuddnwg8266l368qzrkk6jqkzk5qs0drx4,p2tr,0.14129182,3.93039849,36724,39022,847294,950018
bc1qdy9qytgpxgh4jmplcz8e7xc38x5rke3zdurfdg,p2wpkh,0.35345430,44.04152179,36542,61054,828780,948379
126iVH3gSGFiufpHLNkkhE5CczSQYGJzXc,p2pkh,0.19807788,0.00000000,36278,0,575807,
bc1qsqa48lpetv2wwpt93vn0ugm3tnxg7u4cjjalen,p2wpkh,0.19853962,5.02962908,35215,35452,794425,933834
1Ny9toPUCkeidGzHBSjq1NJ9GzwS1UWybB,p2pkh,105.79222253,107.99756080,35051,36222,779641,950631
18vuecxFWH7S8TYv37HwZ63fYoZMWmqSXJ,p2pkh,0.26091243,0.00000000,33121,0,552353,
bc1pvecgek56v2qewqjzf423srfm30sp804f60gu949vfqfgp2t3v4dqrfzhc5,p2tr,0.10925722,17.32109276,32710,35296,842677,938711
bc1p009ajafvh6hem6ppugl3zfvh7g4a7rqv4c34g0xvk0e8ucqkeuuqprk40v,p2tr,0.15674053,14.00421847,32532,34248,872342,950004
bc1qudvcr3xxwtrx02j2j376s00kf4k9fjzzlrtwtk,p2wpkh,0.11933429,471.22030743,32495,36268,840018,950644
bc1prqhzj8pyn5tehg5udf64p7cex76gsa6zwwreuwv8f2w4s8fw2a7swdk96q,p2tr,1.86946941,1.86946941,32238,32238,833931,848563
bc1ph2qzm66vdflr8yju3u78j9f657n65scnhsqwuyz04w089dfg8ceshstajf,p2tr,0.15453089,19.05537789,31632,37797,821753,947537
bc1pqfhj6tlxgpvc72mvn9hh0z666k45fpxgsej92d9q08sfe572mhlqca68ld,p2tr,0.17845055,28.41833961,31299,38847,819466,949095
bc1p36quuvqak2a373uwu94n3jj8zvu5c605kf0j9wfv3mfv5ehgpdlqpdjmmd,p2tr,0.17708695,34.92147324,31164,33559,815127,948011
bc1qn2cstnjlvhxf60j3ujeyq0h0rqc7kklap8j94g,p2wpkh,0.34503984,3.13277281,30538,122444,942492,950696
bc1qr03me4ge8ymk59w2jh0xlrhv4zxh2wetuzluh7,p2wpkh,0.18854882,200.53172988,28370,32036,798541,924162
bc1pfpmvdaxqejte2zg6r0xh3hxaufg0agv0dytrsxvj0zwmkg9znndsza66n0,p2tr,0.16972875,136.46600577,28359,35660,787874,949116
12v7L9vSsWm311RSqH5qeuhe3ymTQmRLBK,p2pkh,0.16658720,0.58993350,28350,40741,839623,873204
bc1qdaf60q0kewwrvwdvx6lp76lp5mqtw4p4f2rlna,p2wpkh,0.10064606,0.39068055,27987,28386,828525,950022
bc1p2c8ztr3vs7fgwswuyyh9zscnelrxw5xffs8m35jdx0mvmc4xpqdszr22d3,p2tr,0.13070627,23.89033520,27264,28720,788764,929057
bc1q5p5w9ag2dsynszrdce5g6rw4gdvgh5cwj2ag5j,p2wpkh,0.15956757,194.28131946,27135,29447,788729,946306
bc1qm6wv0c6vnmg4q8uz8d8hn58tg3p7h3r7rqxw3x,p2wpkh,0.09086606,50.72194356,26959,27206,825722,942511
bc1p5akucnl7tasjp7cw0qej6q389hsed54uwham9ucepr4x3lygyz9q0kuvla,p2tr,1.79156141,2.04838182,26697,30585,894096,950695
bc1pravyuqng7rqhjtc36ln5hquyllz63ffy5rwzh5n522s25qhqcpyq2k06gw,p2tr,0.10004920,13.20024916,26642,27383,789204,928936
bc1pc7t6f46czltnw90qra2znnjngw7tdyrhc0l3n7j0w7vyc6gvaf7sfuamnu,p2tr,0.10927301,14.68830534,26497,29862,821381,946483
18FvMsaHrL3mHnBFYSubuvJbwCHiZPHyJ6,p2pkh,0.24097365,0.00000000,26380,0,569997,
1GrwDkr33gT6LuumniYjKEGjTLhsL5kmqC,p2pkh,317.57315646,11965850.41661731,25434,429953,702148,950695
bc1pq5z0hvxnewyz2kr40j4d32nx9tn0jx0vvdsvjnlckjekyhdm0j6qh7w6hf,p2tr,0.13522782,0.16963115,24767,30932,839610,851399
1L2JvNGHk47PpQLuv313cER4SgNjMj5x63,p2pkh,1.55861533,0.00000600,24737,1,578486,797160
bc1q9zfqrc74y5t9lv7rlm3jgz96sx8lf7vzwyhvpj,p2wpkh,0.12505352,3.25869313,24437,26716,880736,946137
1C4Q1RvUb3bzk4aaLVgGccnSnaHYFdESzY,p2pkh,0.36332873,0.00000546,24422,1,362195,843079
bc1pwcmw2a9sfqsxqttvqd3ffln90g9j6dw5w46a4ewvl4lxwsarx9zsgq3ny6,p2tr,0.08107967,48.78703105,24420,26757,821509,931674
15X8EMMigX7At2vzcbi2zS5qrCaTHsaoFy,p2pkh,0.24308000,0.00000000,24308,0,364133,
16KZxCK1oneRk42YrJZMB89ffGC456LW1f,p2pkh,0.24308000,0.00000000,24308,0,364133,
bc1pdsvg82rv56c7etwl24fxetyd6h02fkm4j3npssa00vz2um09frgsflqjfa,p2tr,0.08048378,9.33595360,23929,26720,852860,950058
bc1p45w0pn9ltmr664upzv0npztv77twurta7kn5g8j09dljunly9rjqhzzcgx,p2tr,0.08374338,25.08027138,23758,24788,790384,934257
bc1prz3xmhktc5sn8lmr5sh0c373ug9cpht3ehry5ensk7ngf20utg6sx93djj,p2tr,0.07972061,12.15028330,23726,24960,822992,948954
bc1q9wjrlgdjcuv4r6q5ak6s4mkepqa9d9xnp2xsxf,p2wpkh,8.87692044,8.86699544,23459,23397,899176,950696
bc1qcmj5lkumeycyn35lxc3yr32k3fzue87yrjrna6,p2wpkh,0.25359513,0.71756088,23373,44368,831115,946194
17ScKNXo4cL8DyfWfcCWu1uJySQuJm7iKC,p2pkh,0.34069389,0.00000000,23341,0,560953,
1MnaKobJzpaCPCmr5i3twKtXKw5vTgXPfE,p2pkh,0.24421000,0.00000000,23296,0,448160,
