threshold,min_age_blocks,min_age_days,utxo_count,total_btc,share_of_total_btc
>=1 day,144,1.000000,165052040,19930835.47538405,0.9948903539
>=7 days,1008,7.000000,164064185,19605604.60866558,0.9786557584
>=30 days,4320,30.000000,161404528,18758095.29303410,0.9363505151
>=90 days,12960,90.000000,156619013,17645356.26117770,0.8808057624
>=180 days,25920,180.000000,150382995,15551944.59019449,0.7763086337
>=1 year,52560,365.000000,137118667,12126071.99356523,0.6052988633
>=2 years,105120,730.000000,107025168,9719809.80939252,0.4851851310
>=3 years,157680,1095.000000,64290043,8614413.16980725,0.4300068895
>=5 years,262800,1825.000000,44202254,6675755.89598053,0.3332346581
